identifier,asset_type,instruction,eligible_for_bounty,eligible_for_submission,availability_requirement,confidentiality_requirement,integrity_requirement,max_severity,system_tags,created_at,updated_at
"scrollkit.com,*.scrollkit.com",WILDCARD,"",false,false,,,,critical,,2018-01-31 16:37:57 UTC,2023-05-15 16:31:51 UTC
"learnboost.com,*.learnboost.com",WILDCARD,"",false,false,,,,critical,,2019-05-21 10:07:53 UTC,2023-05-15 16:33:40 UTC
*/xmlrpc.php,OTHER,"The sole presence of `xmlrpc.php` in `wordpress.com` and all the domains hosted under our platform doesn't constitute a vulnerability. If you report an issue related to this file, please make sure to provide a working proof of concept that clearly shows the impact.",false,false,,,,critical,,2019-07-22 16:11:07 UTC,2019-07-22 16:11:07 UTC
api.tumblr.com,URL,"",true,true,high,high,high,critical,,2020-01-09 18:07:23 UTC,2020-01-15 15:19:55 UTC
safe.tumblr.com,URL,"",true,true,high,high,high,critical,,2020-01-09 18:08:00 UTC,2020-01-09 18:08:00 UTC
secure.tumblr.com,URL,"",true,true,high,high,high,critical,,2020-01-09 18:08:19 UTC,2020-01-09 18:08:19 UTC
assets.tumblr.com,URL,"",true,true,high,high,high,critical,,2020-01-09 18:08:33 UTC,2020-01-09 18:08:33 UTC
embed.tumblr.com,URL,"",true,true,high,high,high,critical,,2020-01-09 18:08:45 UTC,2020-01-09 18:08:45 UTC
*.tumblr.com,WILDCARD,"**The Blog Network**

*Note: Blogs are cached for 1 minute after first request (60s from first request); content is re-loaded into cache when a new request is submitted after the 61st second.*

How to identify you are looking at the Blog Network:
* Header: `X-tumblr-user` can be used to identify if the domain is a blog on the Blog Network
* View the domain in a browser, there will be a Tumblr banner visible. 

Exclusions for this asset:
* JavaScript is allowed; XSS is excluded from eligibility.
* Pages can be framed; Clickjacking or other X-Frame-Options attacks are excluded from eligibility.",true,true,high,high,high,critical,,2020-01-09 18:09:03 UTC,2023-05-15 16:34:49 UTC
www.tumblr.com,URL,"",true,true,high,high,high,critical,,2020-01-09 18:09:16 UTC,2020-01-09 18:09:16 UTC
t.umblr.com,URL,"",true,true,high,high,high,critical,,2020-01-09 18:09:28 UTC,2020-01-09 18:09:28 UTC
*.srvcs.tumblr.com,WILDCARD,"",true,true,high,high,high,critical,,2020-01-09 18:09:42 UTC,2023-05-15 16:34:49 UTC
*.txmblr.com,WILDCARD,"",false,false,high,high,high,critical,,2020-01-09 18:09:52 UTC,2023-05-15 16:34:49 UTC
com.tumblr,GOOGLE_PLAY_APP_ID,"- Minimum OS version: API 21

Exclusions:
- API keys in code
- Certificate pinning",true,true,low,medium,low,high,,2020-01-09 18:10:16 UTC,2020-01-09 18:10:16 UTC
com.tumblr.tumblr,APPLE_STORE_APP_ID,"- Minimum OS version: iOS 11

Exclusions:
- API keys in code
- Certificate pinning",true,true,low,medium,low,high,,2020-01-09 18:10:36 UTC,2020-01-09 18:10:36 UTC
"afterthedeadline.com,*.afterthedeadline.com",WILDCARD,"",false,false,,,,critical,,2020-04-27 15:22:59 UTC,2023-05-15 16:35:29 UTC
"polishmywriting.com,*.polishmywriting.com",WILDCARD,"",false,false,,,,critical,,2020-04-27 15:24:16 UTC,2023-05-15 16:35:29 UTC
*.survey.fm,WILDCARD,"This cookieless domain contains user generated content. While we might decide to fix XSS issues, reports for this domain will not be eligible for a bounty.",false,false,,,,critical,,2020-11-20 11:02:43 UTC,2023-05-15 16:36:41 UTC
*.poll.fm,WILDCARD,"This cookieless domain contains user generated content. While we might decide to fix XSS issues, reports for this domain will not be eligible for a bounty.",false,false,,,,critical,,2020-11-20 12:26:03 UTC,2023-05-15 16:36:41 UTC
wordpress.com,URL,"",true,true,high,high,high,critical,,2020-12-30 21:29:03 UTC,2020-12-30 21:30:56 UTC
intensedebate.com,URL,"",true,true,low,low,low,medium,,2020-12-31 10:52:08 UTC,2020-12-31 10:52:08 UTC
simplenote.com,URL,"",true,true,low,medium,low,high,,2020-12-31 10:55:03 UTC,2020-12-31 10:55:03 UTC
